Date,ADA-USD,ATOM-USD,AVAX-USD,AXS-USD,BTC-USD,ETH-USD,LINK-USD,LUNA1-USD,MATIC-USD,SOL-USD
2017-04-26,,,,,329631008,,,,,
2017-04-27,,,,,449196992,,,,,
2017-04-28,,,,,527488992,,,,,
2017-04-29,,,,,422705984,,,,,
2017-04-30,,,,,413115008,,,,,
2017-05-01,,,,,713624000,,,,,
2017-05-02,,,,,477337984,,,,,
2017-05-03,,,,,583795968,,,,,
2017-05-04,,,,,933548992,,,,,
2017-05-05,,,,,946035968,,,,,
2017-05-06,,,,,582529984,,,,,
2017-05-07,,,,,1080029952,,,,,
2017-05-08,,,,,1340320000,,,,,
2017-05-09,,,,,1167920000,,,,,
2017-05-10,,,,,915723008,,,,,
2017-05-11,,,,,799489984,,,,,
2017-05-12,,,,,740984000,,,,,
2017-05-13,,,,,579635008,,,,,
2017-05-14,,,,,437196000,,,,,
2017-05-15,,,,,731529024,,,,,
2017-05-16,,,,,959044992,,,,,
2017-05-17,,,,,1064729984,,,,,
2017-05-18,,,,,894321024,,,,,
2017-05-19,,,,,1157289984,,,,,
2017-05-20,,,,,961336000,,,,,
2017-05-21,,,,,1147859968,,,,,
2017-05-22,,,,,1942220032,,,,,
2017-05-23,,,,,1378749952,,,,,
2017-05-24,,,,,1725379968,,,,,
2017-05-25,,,,,2406700032,,,,,
2017-05-26,,,,,1763480064,,,,,
2017-05-27,,,,,1700480000,,,,,
2017-05-28,,,,,1147139968,,,,,
2017-05-29,,,,,994625024,,,,,
2017-05-30,,,,,1443970048,,,,,
2017-05-31,,,,,1544829952,,,,,
2017-06-01,,,,,1653180032,,,,,
2017-06-02,,,,,1317030016,,,,,
2017-06-03,,,,,1514950016,,,,,
2017-06-04,,,,,1355120000,,,,,
2017-06-05,,,,,1369309952,,,,,
2017-06-06,,,,,2089609984,,,,,
2017-06-07,,,,,1517709952,,,,,
2017-06-08,,,,,1281170048,,,,,
2017-06-09,,,,,1348950016,,,,,
2017-06-10,,,,,2018889984,,,,,
2017-06-11,,,,,1752400000,,,,,
2017-06-12,,,,,2569530112,,,,,
2017-06-13,,,,,1781200000,,,,,
2017-06-14,,,,,1696560000,,,,,
2017-06-15,,,,,2026259968,,,,,
2017-06-16,,,,,1195190016,,,,,
2017-06-17,,,,,1534509952,,,,,
2017-06-18,,,,,1178659968,,,,,
2017-06-19,,,,,1446840064,,,,,
2017-06-20,,,,,1854189952,,,,,
2017-06-21,,,,,1626579968,,,,,
2017-06-22,,,,,1097939968,,,,,
2017-06-23,,,,,961318976,,,,,
2017-06-24,,,,,982750016,,,,,
2017-06-25,,,,,1161100032,,,,,
2017-06-26,,,,,1663280000,,,,,
2017-06-27,,,,,1489789952,,,,,
2017-06-28,,,,,1183869952,,,,,
2017-06-29,,,,,949979008,,,,,
2017-06-30,,,,,860273024,,,,,
2017-07-01,,,,,779913984,,,,,
2017-07-02,,,,,803747008,,,,,
2017-07-03,,,,,964112000,,,,,
2017-07-04,,,,,985516032,,,,,
2017-07-05,,,,,941566016,,,,,
2017-07-06,,,,,761956992,,,,,
2017-07-07,,,,,917411968,,,,,
2017-07-08,,,,,733329984,,,,,
2017-07-09,,,,,527856000,,,,,
2017-07-10,,,,,1111200000,,,,,
2017-07-11,,,,,1329760000,,,,,
2017-07-12,,,,,1117410048,,,,,
2017-07-13,,,,,835769984,,,,,
2017-07-14,,,,,882502976,,,,,
2017-07-15,,,,,993608000,,,,,
2017-07-16,,,,,1182870016,,,,,
2017-07-17,,,,,1201760000,,,,,
2017-07-18,,,,,1512450048,,,,,
2017-07-19,,,,,1245100032,,,,,
2017-07-20,,,,,2249260032,,,,,
2017-07-21,,,,,1489449984,,,,,
2017-07-22,,,,,1177129984,,,,,
2017-07-23,,,,,1072840000,,,,,
2017-07-24,,,,,866473984,,,,,
2017-07-25,,,,,1460089984,,,,,
2017-07-26,,,,,937404032,,,,,
2017-07-27,,,,,789104000,,,,,
2017-07-28,,,,,1380099968,,,,,
2017-07-29,,,,,803745984,,,,,
2017-07-30,,,,,705942976,,,,,
2017-07-31,,,,,860574976,,,,,
2017-08-01,,,,,1324669952,,,,,
2017-08-02,,,,,1094950016,,,,,
2017-08-03,,,,,804796992,,,,,
2017-08-04,,,,,1002120000,,,,,
2017-08-05,,,,,1945699968,,,,,
2017-08-06,,,,,1105030016,,,,,
2017-08-07,,,,,1482279936,,,,,
2017-08-08,,,,,1752760064,,,,,
2017-08-09,,,,,1468960000,,,,,
2017-08-10,,,,,1515110016,,,,,
2017-08-11,,,,,2021190016,,,,,
2017-08-12,,,,,2219589888,,,,,
2017-08-13,,,,,3159089920,,,,,
2017-08-14,,,,,2463089920,,,,,
2017-08-15,,,,,3258050048,,,,,
2017-08-16,,,,,2272039936,,,,,
2017-08-17,,,,,2553359872,,,,,
2017-08-18,,,,,2941710080,,,,,
2017-08-19,,,,,2975820032,,,,,
2017-08-20,,,,,2109769984,,,,,
2017-08-21,,,,,2800890112,,,,,
2017-08-22,,,,,3764239872,,,,,
2017-08-23,,,,,2369819904,,,,,
2017-08-24,,,,,2037750016,,,,,
2017-08-25,,,,,1727970048,,,,,
2017-08-26,,,,,1511609984,,,,,
2017-08-27,,,,,1537459968,,,,,
2017-08-28,,,,,1959330048,,,,,
2017-08-29,,,,,2486080000,,,,,
2017-08-30,,,,,1937849984,,,,,
2017-08-31,,,,,1944930048,,,,,
2017-09-01,,,,,2599079936,,,,,
2017-09-02,,,,,2722139904,,,,,
2017-09-03,,,,,1933190016,,,,,
2017-09-04,,,,,2987330048,,,,,
2017-09-05,,,,,2697969920,,,,,
2017-09-06,,,,,2172100096,,,,,
2017-09-07,,,,,1844620032,,,,,
2017-09-08,,,,,2700890112,,,,,
2017-09-09,,,,,1386230016,,,,,
2017-09-10,,,,,1679090048,,,,,
